Statistik från Skolverket, https://www.skolverket.se;;;;;;;;;;
;;;;;;;;;;
Grundskola - Slutbetyg årskurs 9, samtliga elever;;;;;;;;;;
Valt läsår: 2024/25;;;;;;;;;;
;;;;;;;;;;
Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Antal elever;Andel (%) elever som uppfyllt betygskriterierna i alla ämnen;Andel (%) elever behöriga till yrkesprog.;Genomsnittligt meritvärde (17 ämnen)
Noblaskolan Solna;27323097;Solna;0184;Enskild;Pysslingen Förskolor och Skolor AB;5560354309;54;100;100;284,8
Kungsholmens grundskola;29410344;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;80;93,8;93,8;284,8
Vasastans Montessoriskola;75656508;Stockholm;0180;Enskild;Vasastans Montessoriförskola;8020120971;17;94,1;100;284,4
Futuraskolan International Stockholm;65487837;Stockholm;0180;Enskild;Futuraskolan AB;5566095047;26;92,3;~100;284,2
Mariaskolan;31528772;Södertälje;0181;Enskild;Föreningen Maria Magdalena;8156008255;18;88,9;100;283,6
Maleviksskolan;39915890;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;30;96,7;~100;282,9
Videdals privatskolor;31996111;Malmö;1280;Enskild;Aktiebolaget Videdals Privatskolor;5564518750;18;94,4;~100;282,8
Enskede skola;72248694;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;120;92,5;~100;282,8
Höglandsskolan;36281817;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;59;94,9;~100;282,2
Futuraskolan International Kottla;36276828;Lidingö;0186;Enskild;Futuraskolan AB;5566095047;119;95,8;~100;281,9
Birkaskolan;27595656;Ekerö;0125;Enskild;Mälaröarnas Montessori, Ek. För.;7696032353;31;87,1;~100;281,2
Silverbäcken Dibber;56867397;Sollentuna;0163;Enskild;Dibber Inspira AB;5566096516;44;90,9;100;281
Engelska Skolan Norr;29725531;Stockholm;0180;Enskild;Engelska Skolor och Förskolor i Sverige AB;5565699302;49;85,7;~100;280,9
Internationella Engelska Skolan Värmdö;62569730;Värmdö;0120;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;62;95,2;~100;280,9
Kvarngärdesskolan;61003071;Uppsala;0380;Kommunal;Uppsala kommun;2120003005;25;88;100;280,8
Internationella Engelska Skolan Täby;12332278;Täby;0160;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;212;92,9;97,6;280,5
Nordic International School, Stockholm;15171331;Stockholm;0180;Enskild;Nordic International School AB;5566102033;64;85,9;~100;280,2
Kunskapsskolan Helsingborg;48798589;Helsingborg;1283;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;110;95,5;~100;279,7
Nacka Idrottsgrundskola;54348763;Nacka;0182;Enskild;Nacka Idrottsgrundskola AB;5592885098;54;100;100;279,6
Kunskapsskolan Norrköping;77437748;Norrköping;0581;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;111;98,2;100;279,6
Täby Friskola-Enhagen;32231541;Täby;0160;Enskild;Täby Friskola Aktiebolag;5565998860;98;94,9;100;279,5
Lärande Grundskola Skapa;10063280;Huddinge;0126;Enskild;The Learning Lab i Stockholm AB;5568097405;54;94,4;100;278,8
Fribergaskolan;42986451;Danderyd;0162;Kommunal;Danderyds kommun;2120000126;181;91,7;96,7;278,4
Torsviks skola;45104329;Lidingö;0186;Kommunal;Lidingö kommun;2120000191;135;97,8;~100;278,4
Internationella Engelska Skolan Staffanstorp;68467205;Staffanstorp;1230;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;60;98,3;100;278,3
Noblaskolan Saltsjö-Boo;32965692;Nacka;0182;Enskild;Pysslingen Förskolor och Skolor AB;5560354309;108;96,3;~100;278,1
Viktor Rydbergs skola Sundbyberg;79708334;Sundbyberg;0183;Enskild;Stiftelsen Viktor Rydbergs Skolor;8120005650;156;95,5;~100;278
Stiftelsen BMSL;75154610;Lund;1281;Enskild;Stiftelsen Bmsl;8024781158;40;97,5;~100;277,8
Kunskapsskolan Saltsjöbaden;11496096;Nacka;0182;Enskild;Kunskapsskolan i Sverige Aktiebolag;5565661815;51;98;~100;277,8
Bladins grundskola;57534630;Malmö;1280;Enskild;Bladins Skola, Stiftelsen;8460010948;83;96,4;~100;277,7
KMS Kullaviks Montessoriskola;10902849;Kungsbacka;1384;Enskild;Kullaviks Montessoriskola Ekonomisk förening;7164422243;26;96,2;100;277,4
Montessori Mondial Lund;40248457;Lund;1281;Enskild;Pysslingen Förskolor och Skolor AB;5560354309;25;96;~100;277,4
Maria Elementarskola;73893187;Stockholm;0180;Enskild;Märta Fransons Stiftelse;8020060458;44;93,2;~100;277,3
Kulturama Grundsk. Sundbyberg;37112288;Sundbyberg;0183;Enskild;Medborgarskolan Stockholmsregionen;8020060524;74;81,1;~100;277
Kastanjeskolan;19024032;Malmö;1280;Enskild;Föreningen Kastanjeskolan;8465016791;24;91,7;~100;276,7
Engelbrektsskolan;87521048;Stockholm;0180;Kommunal;Stockholms kommun;2120000142;149;89,3;~100;276,6
Estniska Skolan i Stockholm;34540901;Stockholm;0180;Enskild;Estniska Skolan i Stockholm;8020058908;19;89,5;~100;276,4
Axonaskolan;81452013;Kristianstad;1290;Enskild;Axona Dendron AB;5565937868;23;91,3;~100;276,3
ISGR/Swedish-English;80498460;Göteborg;1480;Kommunal;Göteborgsregionens Kommunalförbund;2220000265;59;86,4;89,8;276,1
