school_id,school_name,municipality,address,merit_value,school_type,latitude,longitude
56130729,Dalskolan,Tyresö,Krusbodavägen 4,217.3,Kommunal,59.2343716,18.2414496
44243725,Skogstorpsskolan 7-9,Kumla,Mastgatan 7,217.3,Kommunal,59.1435391,15.1339702
60633912,Brönjaskolan,Boden,Fruktvägen 3,217.2,Kommunal,65.772215,21.7355284
58395955,Ornäs skola,Borlänge,Dalsjövägen 25,217.2,Kommunal,60.50277699999999,15.5338697
93845278,Vannarödsskolan 6-9,Hässleholm,Slottsgatan 1,217.1,Kommunal,56.0411278,13.6754168
94453321,Förslövs skola F-9,Båstad,Bokesliden 20,217.0,Kommunal,56.3554695,12.8196074
32758035,Tunboskolan,Hallstahammar,Södra Prästgårdsgatan 2,216.9,Kommunal,59.55949709999999,16.2290697
81342093,Guldkroksskolan 7-9,Hjo,Linnégatan 1,216.9,Kommunal,58.29932780000001,14.2797603
68326694,Tokarpsskolan,Linköping,Fårhagsvägen 142,216.9,Kommunal,58.42390599999999,15.5082827
10421130,Norsjöskolan F-9,Norsjö,Skolgatan 25,216.9,Kommunal,64.9094895,19.4821547
19657993,Fryshuset Grundskola Hammarby Sjöstad,Stockholm,Mårtensdalsgatan 2-8,216.9,Enskild,59.300828,18.0888911
73272488,Skärgårdsstadsskolan,Österåker,Tre Gruvors väg 1,216.8,Kommunal,59.4870063,18.3823562
72668294,Liljeskolan,Trelleborg,Engelbrektsgatan 5,216.8,Kommunal,55.3788335,13.1638229
99636909,Torskolan H,Torsås,Kalmarvägen 7,216.8,Kommunal,56.4138055,15.9979013
59150456,Stenhammarskolan,Flen,Storgatan 19 B,216.7,Kommunal,59.1541776,16.4993234
43172419,Bäckaskolan 7-9,Gnosjö,Läroverksgatan 17,216.7,Kommunal,57.35166049999999,13.741686
50826766,Solbackeskolan 4-9,Halmstad,Gäddvägen 181,216.7,Kommunal,56.6491645,12.9228229
75091646,Ljungbyhedsskolan,Klippan,Nybrogatan 9,216.7,Kommunal,56.07799,13.2428052
42641767,Lugnviksskolan,Östersund,Midvägen 12,216.7,Kommunal,63.20445089999999,14.6346394
41605059,Apelskolan,Falkenberg,Skolvägen 12,216.6,Kommunal,57.2411773,12.863215
95610127,Mockfjärdsskolan,Gagnef,Skolvägen 1,216.6,Kommunal,60.5082927,14.9668305
81424988,Mariebergsskolan,Karlstad,Rosenborgsgatan 28,216.6,Kommunal,59.37242260000001,13.4804856
65569784,Naverlönnskolan 4-9,Svedala,Bökebergsvägen 25,216.6,Kommunal,55.5461366,13.2735786
65654358,Skrantaskolan,Karlskoga,Baggängsvägen 4,216.5,Kommunal,59.31625539999999,14.4991897
43269172,Gustaf Dalénskolan 4-9,Falköping,Slingvägen 40B,216.5,Kommunal,58.27395019999999,13.7057145
37716305,Bjurbäcksskolan 7-9,Emmaboda,Rådhusgatan 23,216.4,Kommunal,56.6344135,15.5347972
60557814,Dalsjöskolan 7-9,Borås,Dalsjövägen 16,216.4,Kommunal,57.71811479999999,13.0999612
73575145,Hakkas Centralskola,Gällivare,Byavägen 30,216.3,Kommunal,66.9144415,21.5749928
16547623,Ludvigsborgsskolan,Västervik,Lektor Berlins väg 1,216.3,Kommunal,57.7499317,16.6421648
83084730,Centralskolan,Malung-Sälen,Västra Bangatan 20,216.2,Kommunal,60.6807476,13.7256242
85335004,Ånestadsskolan 7-9,Linköping,Häggvägen 17,216.1,Kommunal,58.3924565,15.6505137
56285442,Åsaskolan 7-9FI,Kungsbacka,Pölagårdsvägen 8,216.0,Kommunal,57.35363330000001,12.1113316
60570294,Brunnsängskolan,Södertälje,Häradsvägen 11,216.0,Kommunal,59.21208859999999,17.6378602
81072495,Hamburgsundskolan F-9,Tanum,Skolvägen 2,216.0,Kommunal,58.7202971,11.3226126
69372123,Torpaskolan Söder,Vänersborg,Idrottsgatan 1,216.0,Kommunal,58.36747880000001,12.3294568
72672270,Aspuddens skola,Stockholm,Blommensbergsvägen 166,215.9,Kommunal,59.3092915,17.9987229
55343483,Hagaskolan,Sundsvall,Geijergatan 4,215.9,Kommunal,62.4050463,17.3290558
97938241,Ölyckeskolan 7-9,Eslöv,Skolgatan 2,215.9,Kommunal,55.8407305,13.2950778
21423670,Kunskapsskolan Gävle,Gävle,Rynningsgatan 2,215.9,Enskild,60.660934,17.1608317
34671510,Gällö skola,Bräcke,Skolvägen 6,215.8,Kommunal,62.9692322,15.1702311
